"BehaviorSpace results (NetLogo 6.3.0)"
"PSO_NL_Template.nlogo"
"particle-inertia-f7-c9-penalty"
"12/30/2022 22:51:26:928 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","trails-mode","particle-inertia","path-to-load","swarm-confidence","highlight-mode","penalty","constraint_handling_method","Constraint","fitness_function","Constraints","path-to-save","population-size","personal-confidence","particle-speed-limit","[step]","global-best-val","iterations"
"5","None","0","filename.txt","1","Best found","1","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","6","1","7"
"4","None","0","filename.txt","1","Best found","1","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","11","1","12"
"1","None","0","filename.txt","1","Best found","1","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","8","1","9"
"7","None","0","filename.txt","1","Best found","1","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","5","1","6"
"2","None","0","filename.txt","1","Best found","1","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","8","1","9"
"6","None","0","filename.txt","1","Best found","1","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","5","1","6"
"8","None","0","filename.txt","1","Best found","1","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","9","1","10"
"3","None","0","filename.txt","1","Best found","1","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","7","1","8"
"9","None","0","filename.txt","1","Best found","1","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","3","1","4"
"11","None","0.2","filename.txt","1","Best found","1","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","5","1","6"
"12","None","0.2","filename.txt","1","Best found","1","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","5","1","6"
"10","None","0","filename.txt","1","Best found","1","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","6","1","7"
"13","None","0.2","filename.txt","1","Best found","1","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","3","1","4"
"15","None","0.2","filename.txt","1","Best found","1","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","3","1","4"
"16","None","0.2","filename.txt","1","Best found","1","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","6","1","7"
"14","None","0.2","filename.txt","1","Best found","1","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","2","1","3"
"17","None","0.2","filename.txt","1","Best found","1","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","6","1","7"
"18","None","0.2","filename.txt","1","Best found","1","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","5","1","6"
"19","None","0.2","filename.txt","1","Best found","1","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","7","1","8"
"20","None","0.2","filename.txt","1","Best found","1","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","5","1","6"
"21","None","0.4","filename.txt","1","Best found","1","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","6","1","7"
"24","None","0.4","filename.txt","1","Best found","1","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","7","1","8"
"22","None","0.4","filename.txt","1","Best found","1","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","5","1","6"
"23","None","0.4","filename.txt","1","Best found","1","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","6","1","7"
"26","None","0.4","filename.txt","1","Best found","1","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","3","1","4"
"25","None","0.4","filename.txt","1","Best found","1","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","3","1","4"
"27","None","0.4","filename.txt","1","Best found","1","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","6","1","7"
"28","None","0.4","filename.txt","1","Best found","1","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","4","1","5"
"31","None","0.6","filename.txt","1","Best found","1","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","4","1","5"
"32","None","0.6","filename.txt","1","Best found","1","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","7","1","8"
"29","None","0.4","filename.txt","1","Best found","1","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","6","1","7"
"30","None","0.4","filename.txt","1","Best found","1","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","6","1","7"
"33","None","0.6","filename.txt","1","Best found","1","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","6","1","7"
"34","None","0.6","filename.txt","1","Best found","1","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","9","1","10"
"35","None","0.6","filename.txt","1","Best found","1","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","5","1","6"
"36","None","0.6","filename.txt","1","Best found","1","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","5","1","6"
"37","None","0.6","filename.txt","1","Best found","1","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","9","1","10"
"38","None","0.6","filename.txt","1","Best found","1","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","4","1","5"
"40","None","0.6","filename.txt","1","Best found","1","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","4","1","5"
"39","None","0.6","filename.txt","1","Best found","1","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","5","1","6"
"41","None","0.8","filename.txt","1","Best found","1","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","9","1","10"
"42","None","0.8","filename.txt","1","Best found","1","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","2","1","3"
"43","None","0.8","filename.txt","1","Best found","1","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","6","1","7"
"44","None","0.8","filename.txt","1","Best found","1","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","5","1","6"
"45","None","0.8","filename.txt","1","Best found","1","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","8","1","9"
"47","None","0.8","filename.txt","1","Best found","1","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","7","1","8"
"46","None","0.8","filename.txt","1","Best found","1","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","6","1","7"
"48","None","0.8","filename.txt","1","Best found","1","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","9","1","10"
"49","None","0.8","filename.txt","1","Best found","1","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","4","1","5"
"50","None","0.8","filename.txt","1","Best found","1","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","5","1","6"
"52","None","1","filename.txt","1","Best found","1","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","4","1","5"
"51","None","1","filename.txt","1","Best found","1","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","11","1","12"
"53","None","1","filename.txt","1","Best found","1","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","13","1","14"
"54","None","1","filename.txt","1","Best found","1","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","8","1","9"
"55","None","1","filename.txt","1","Best found","1","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","12","1","13"
"56","None","1","filename.txt","1","Best found","1","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","10","1","11"
"57","None","1","filename.txt","1","Best found","1","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","6","1","7"
"58","None","1","filename.txt","1","Best found","1","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","4","1","5"
"60","None","1","filename.txt","1","Best found","1","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","9","1","10"
"59","None","1","filename.txt","1","Best found","1","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","15","1","16"
