"BehaviorSpace results (NetLogo 6.3.0)"
"PSO_NL_Template.nlogo"
"personal-confidence-f7-c9-penalty"
"12/31/2022 00:48:29:550 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","trails-mode","particle-inertia","path-to-load","swarm-confidence","highlight-mode","penalty","constraint_handling_method","Constraint","fitness_function","Constraints","path-to-save","population-size","personal-confidence","particle-speed-limit","[step]","global-best-val","iterations"
"5","None","0.5","filename.txt","1","Best found","0.5","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","0","10","7","1","8"
"4","None","0.5","filename.txt","1","Best found","0.5","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","0","10","7","1","8"
"2","None","0.5","filename.txt","1","Best found","0.5","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","0","10","4","1","5"
"3","None","0.5","filename.txt","1","Best found","0.5","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","0","10","2","1","3"
"1","None","0.5","filename.txt","1","Best found","0.5","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","0","10","1","1","2"
"8","None","0.5","filename.txt","1","Best found","0.5","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","0","10","5","1","6"
"6","None","0.5","filename.txt","1","Best found","0.5","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","0","10","4","1","5"
"7","None","0.5","filename.txt","1","Best found","0.5","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","0","10","6","1","7"
"13","None","0.5","filename.txt","1","Best found","0.5","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","0","10","5","1","6"
"9","None","0.5","filename.txt","1","Best found","0.5","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","0","10","6","1","7"
"11","None","0.5","filename.txt","1","Best found","0.5","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","0","10","0","1","1"
"10","None","0.5","filename.txt","1","Best found","0.5","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","0","10","7","1","8"
"12","None","0.5","filename.txt","1","Best found","0.5","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","0","10","5","1","6"
"14","None","0.5","filename.txt","1","Best found","0.5","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","0","10","4","1","5"
"15","None","0.5","filename.txt","1","Best found","0.5","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","0","10","4","1","5"
"16","None","0.5","filename.txt","1","Best found","0.5","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","0","10","1","1","2"
"17","None","0.5","filename.txt","1","Best found","0.5","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","0","10","4","1","5"
"18","None","0.5","filename.txt","1","Best found","0.5","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","0","10","5","1","6"
"19","None","0.5","filename.txt","1","Best found","0.5","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","0","10","5","1","6"
"20","None","0.5","filename.txt","1","Best found","0.5","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","0","10","2","1","3"
"21","None","0.5","filename.txt","1","Best found","0.5","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","0","10","4","1","5"
"22","None","0.5","filename.txt","1","Best found","0.5","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","0","10","6","1","7"
"23","None","0.5","filename.txt","1","Best found","0.5","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","0","10","8","1","9"
"24","None","0.5","filename.txt","1","Best found","0.5","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","0","10","5","1","6"
"25","None","0.5","filename.txt","1","Best found","0.5","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","0","10","5","1","6"
"26","None","0.5","filename.txt","1","Best found","0.5","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","0","10","2","1","3"
"27","None","0.5","filename.txt","1","Best found","0.5","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","0","10","4","1","5"
"28","None","0.5","filename.txt","1","Best found","0.5","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","0","10","8","1","9"
"29","None","0.5","filename.txt","1","Best found","0.5","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","0","10","7","1","8"
"31","None","0.5","filename.txt","1","Best found","0.5","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","0","10","4","1","5"
"30","None","0.5","filename.txt","1","Best found","0.5","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","0","10","4","1","5"
"32","None","0.5","filename.txt","1","Best found","0.5","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","0","10","4","1","5"
"33","None","0.5","filename.txt","1","Best found","0.5","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","0","10","4","1","5"
"34","None","0.5","filename.txt","1","Best found","0.5","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","0","10","6","1","7"
"35","None","0.5","filename.txt","1","Best found","0.5","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","0","10","3","1","4"
"36","None","0.5","filename.txt","1","Best found","0.5","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","0","10","5","1","6"
"37","None","0.5","filename.txt","1","Best found","0.5","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","0","10","1","1","2"
"39","None","0.5","filename.txt","1","Best found","0.5","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","0","10","5","1","6"
"38","None","0.5","filename.txt","1","Best found","0.5","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","0","10","3","1","4"
"41","None","0.5","filename.txt","1","Best found","0.5","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","0","10","0","1","1"
"40","None","0.5","filename.txt","1","Best found","0.5","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","0","10","5","1","6"
"42","None","0.5","filename.txt","1","Best found","0.5","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","0","10","9","1","10"
"43","None","0.5","filename.txt","1","Best found","0.5","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","0","10","6","1","7"
"44","None","0.5","filename.txt","1","Best found","0.5","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","0","10","2","1","3"
"45","None","0.5","filename.txt","1","Best found","0.5","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","0","10","7","1","8"
"46","None","0.5","filename.txt","1","Best found","0.5","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","0","10","5","1","6"
"47","None","0.5","filename.txt","1","Best found","0.5","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","0","10","7","1","8"
"48","None","0.5","filename.txt","1","Best found","0.5","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","0","10","6","1","7"
"49","None","0.5","filename.txt","1","Best found","0.5","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","0","10","2","1","3"
"50","None","0.5","filename.txt","1","Best found","0.5","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","0","10","5","1","6"
"51","None","0.5","filename.txt","1","Best found","0.5","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","0","10","5","1","6"
"52","None","0.5","filename.txt","1","Best found","0.5","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","0","10","0","1","1"
"53","None","0.5","filename.txt","1","Best found","0.5","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","0","10","5","1","6"
"56","None","0.5","filename.txt","1","Best found","0.5","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","0","10","3","1","4"
"55","None","0.5","filename.txt","1","Best found","0.5","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","0","10","4","1","5"
"54","None","0.5","filename.txt","1","Best found","0.5","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","0","10","3","1","4"
"57","None","0.5","filename.txt","1","Best found","0.5","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","0","10","7","1","8"
"58","None","0.5","filename.txt","1","Best found","0.5","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","0","10","7","1","8"
"59","None","0.5","filename.txt","1","Best found","0.5","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","0","10","5","1","6"
"62","None","0.5","filename.txt","1","Best found","0.5","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","0","10","6","1","7"
"60","None","0.5","filename.txt","1","Best found","0.5","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","0","10","4","1","5"
"61","None","0.5","filename.txt","1","Best found","0.5","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","0","10","7","1","8"
"64","None","0.5","filename.txt","1","Best found","0.5","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","0","10","7","1","8"
"63","None","0.5","filename.txt","1","Best found","0.5","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","0","10","5","1","6"
"65","None","0.5","filename.txt","1","Best found","0.5","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","0","10","7","1","8"
"66","None","0.5","filename.txt","1","Best found","0.5","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","0","10","7","1","8"
"68","None","0.5","filename.txt","1","Best found","0.5","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","0","10","3","1","4"
"67","None","0.5","filename.txt","1","Best found","0.5","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","0","10","9","1","10"
"69","None","0.5","filename.txt","1","Best found","0.5","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","0","10","6","1","7"
