"BehaviorSpace results (NetLogo 6.3.0)"
"PSO_NL_Template.nlogo"
"population-size-f6-c6-rejection"
"12/31/2022 00:30:07:775 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","trails-mode","particle-inertia","path-to-load","swarm-confidence","highlight-mode","penalty","constraint_handling_method","Constraint","fitness_function","Constraints","path-to-save","population-size","personal-confidence","particle-speed-limit","[step]","global-best-val","iterations"
"1","None","0.5","filename.txt","1","Best found","0.5","Rejection Method","Constraint 6","F6 Easom Function","true","filename.txt","2","1","10","0","1","1"
"3","None","0.5","filename.txt","1","Best found","0.5","Rejection Method","Constraint 6","F6 Easom Function","true","filename.txt","2","1","10","0","1","1"
"2","None","0.5","filename.txt","1","Best found","0.5","Rejection Method","Constraint 6","F6 Easom Function","true","filename.txt","2","1","10","0","1","1"
"4","None","0.5","filename.txt","1","Best found","0.5","Rejection Method","Constraint 6","F6 Easom Function","true","filename.txt","2","1","10","0","1","1"
"5","None","0.5","filename.txt","1","Best found","0.5","Rejection Method","Constraint 6","F6 Easom Function","true","filename.txt","2","1","10","0","1","1"
"6","None","0.5","filename.txt","1","Best found","0.5","Rejection Method","Constraint 6","F6 Easom Function","true","filename.txt","2","1","10","0","1","1"
"7","None","0.5","filename.txt","1","Best found","0.5","Rejection Method","Constraint 6","F6 Easom Function","true","filename.txt","2","1","10","0","1","1"
"8","None","0.5","filename.txt","1","Best found","0.5","Rejection Method","Constraint 6","F6 Easom Function","true","filename.txt","2","1","10","0","1","1"
"11","None","0.5","filename.txt","1","Best found","0.5","Rejection Method","Constraint 6","F6 Easom Function","true","filename.txt","2","1","10","0","1","1"
"9","None","0.5","filename.txt","1","Best found","0.5","Rejection Method","Constraint 6","F6 Easom Function","true","filename.txt","2","1","10","0","1","1"
"10","None","0.5","filename.txt","1","Best found","0.5","Rejection Method","Constraint 6","F6 Easom Function","true","filename.txt","2","1","10","0","1","1"
