"BehaviorSpace results (NetLogo 6.3.0)"
"PSO_NL_Template.nlogo"
"swarm-confidence-f2-c2-noconstraints"
"12/30/2022 23:22:33:929 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","trails-mode","particle-inertia","path-to-load","swarm-confidence","highlight-mode","penalty","constraint_handling_method","Constraint","fitness_function","Constraints","path-to-save","population-size","personal-confidence","particle-speed-limit","[step]","global-best-val","iterations"
"4","None","0.5","filename.txt","0","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","false","filename.txt","50","1","10","600","0.8526377546114364","600"
"7","None","0.5","filename.txt","0","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","false","filename.txt","50","1","10","600","0.9161636202146229","600"
"5","None","0.5","filename.txt","0","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","false","filename.txt","50","1","10","600","0.8818227977604162","600"
"3","None","0.5","filename.txt","0","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","false","filename.txt","50","1","10","600","0.9135554752957603","600"
"6","None","0.5","filename.txt","0","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","false","filename.txt","50","1","10","600","0.9182022499640505","600"
"8","None","0.5","filename.txt","0","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","false","filename.txt","50","1","10","600","0.782493940093167","600"
"2","None","0.5","filename.txt","0","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","false","filename.txt","50","1","10","600","0.9790390589108031","600"
"1","None","0.5","filename.txt","0","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","false","filename.txt","50","1","10","600","0.8944334170120737","600"
"9","None","0.5","filename.txt","0","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","false","filename.txt","50","1","10","600","0.9338239557803493","600"
"11","None","0.5","filename.txt","0.2","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","false","filename.txt","50","1","10","600","0.9846358421428142","600"
"12","None","0.5","filename.txt","0.2","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","false","filename.txt","50","1","10","600","0.9941646412380205","600"
"16","None","0.5","filename.txt","0.2","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","false","filename.txt","50","1","10","600","0.9510266034136574","600"
"13","None","0.5","filename.txt","0.2","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","false","filename.txt","50","1","10","600","0.9708790319973111","600"
"14","None","0.5","filename.txt","0.2","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","false","filename.txt","50","1","10","600","0.9699169903845343","600"
"15","None","0.5","filename.txt","0.2","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","false","filename.txt","50","1","10","600","0.9771938928216255","600"
"10","None","0.5","filename.txt","0","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","false","filename.txt","50","1","10","600","0.9096161013234189","600"
"18","None","0.5","filename.txt","0.2","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","false","filename.txt","50","1","10","34","1","35"
"20","None","0.5","filename.txt","0.2","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","false","filename.txt","50","1","10","600","0.9476936003663242","600"
"21","None","0.5","filename.txt","0.4","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","false","filename.txt","50","1","10","9","1","10"
"19","None","0.5","filename.txt","0.2","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","false","filename.txt","50","1","10","294","1","295"
"17","None","0.5","filename.txt","0.2","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","false","filename.txt","50","1","10","600","0.9961000269423186","600"
"23","None","0.5","filename.txt","0.4","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","false","filename.txt","50","1","10","16","1","17"
"22","None","0.5","filename.txt","0.4","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","false","filename.txt","50","1","10","211","1","212"
"24","None","0.5","filename.txt","0.4","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","false","filename.txt","50","1","10","10","1","11"
"25","None","0.5","filename.txt","0.4","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","false","filename.txt","50","1","10","26","1","27"
"26","None","0.5","filename.txt","0.4","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","false","filename.txt","50","1","10","10","1","11"
"27","None","0.5","filename.txt","0.4","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","false","filename.txt","50","1","10","9","1","10"
"28","None","0.5","filename.txt","0.4","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","false","filename.txt","50","1","10","9","1","10"
"29","None","0.5","filename.txt","0.4","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","false","filename.txt","50","1","10","43","1","44"
"30","None","0.5","filename.txt","0.4","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","false","filename.txt","50","1","10","1","1","2"
"31","None","0.5","filename.txt","0.6","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","false","filename.txt","50","1","10","10","1","11"
"32","None","0.5","filename.txt","0.6","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","false","filename.txt","50","1","10","17","1","18"
"34","None","0.5","filename.txt","0.6","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","false","filename.txt","50","1","10","7","1","8"
"33","None","0.5","filename.txt","0.6","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","false","filename.txt","50","1","10","6","1","7"
"36","None","0.5","filename.txt","0.6","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","false","filename.txt","50","1","10","11","1","12"
"35","None","0.5","filename.txt","0.6","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","false","filename.txt","50","1","10","3","1","4"
"37","None","0.5","filename.txt","0.6","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","false","filename.txt","50","1","10","10","1","11"
"38","None","0.5","filename.txt","0.6","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","false","filename.txt","50","1","10","12","1","13"
"40","None","0.5","filename.txt","0.6","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","false","filename.txt","50","1","10","1","1","2"
"39","None","0.5","filename.txt","0.6","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","false","filename.txt","50","1","10","8","1","9"
"41","None","0.5","filename.txt","0.8","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","false","filename.txt","50","1","10","6","1","7"
"42","None","0.5","filename.txt","0.8","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","false","filename.txt","50","1","10","6","1","7"
"44","None","0.5","filename.txt","0.8","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","false","filename.txt","50","1","10","12","1","13"
"43","None","0.5","filename.txt","0.8","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","false","filename.txt","50","1","10","11","1","12"
"45","None","0.5","filename.txt","0.8","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","false","filename.txt","50","1","10","10","1","11"
"46","None","0.5","filename.txt","0.8","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","false","filename.txt","50","1","10","8","1","9"
"47","None","0.5","filename.txt","0.8","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","false","filename.txt","50","1","10","13","1","14"
"48","None","0.5","filename.txt","0.8","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","false","filename.txt","50","1","10","10","1","11"
"49","None","0.5","filename.txt","0.8","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","false","filename.txt","50","1","10","4","1","5"
"50","None","0.5","filename.txt","0.8","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","false","filename.txt","50","1","10","9","1","10"
"52","None","0.5","filename.txt","1","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","false","filename.txt","50","1","10","9","1","10"
"51","None","0.5","filename.txt","1","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","false","filename.txt","50","1","10","6","1","7"
"54","None","0.5","filename.txt","1","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","false","filename.txt","50","1","10","2","1","3"
"53","None","0.5","filename.txt","1","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","false","filename.txt","50","1","10","7","1","8"
"55","None","0.5","filename.txt","1","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","false","filename.txt","50","1","10","7","1","8"
"56","None","0.5","filename.txt","1","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","false","filename.txt","50","1","10","6","1","7"
"57","None","0.5","filename.txt","1","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","false","filename.txt","50","1","10","5","1","6"
"58","None","0.5","filename.txt","1","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","false","filename.txt","50","1","10","10","1","11"
"59","None","0.5","filename.txt","1","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","false","filename.txt","50","1","10","2","1","3"
"60","None","0.5","filename.txt","1","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","false","filename.txt","50","1","10","2","1","3"
