"BehaviorSpace results (NetLogo 6.3.0)"
"PSO_NL_Template.nlogo"
"swarm-confidence-f2-c2-rejection"
"12/30/2022 23:23:32:746 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","trails-mode","particle-inertia","path-to-load","swarm-confidence","highlight-mode","penalty","constraint_handling_method","Constraint","fitness_function","Constraints","path-to-save","population-size","personal-confidence","particle-speed-limit","[step]","global-best-val","iterations"
"2","None","0.5","filename.txt","0","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","true","filename.txt","50","1","10","600","0.48967208314653266","600"
"8","None","0.5","filename.txt","0","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","true","filename.txt","50","1","10","600","0.4979341096159179","600"
"5","None","0.5","filename.txt","0","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","true","filename.txt","50","1","10","600","0.49562842511986804","600"
"3","None","0.5","filename.txt","0","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","true","filename.txt","50","1","10","600","0.46745030028229917","600"
"7","None","0.5","filename.txt","0","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","true","filename.txt","50","1","10","600","0.49242445777222943","600"
"6","None","0.5","filename.txt","0","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","true","filename.txt","50","1","10","600","0.474237038998923","600"
"4","None","0.5","filename.txt","0","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","true","filename.txt","50","1","10","600","0.49222191575862767","600"
"1","None","0.5","filename.txt","0","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","true","filename.txt","50","1","10","600","0.49949604594188285","600"
"16","None","0.5","filename.txt","0.2","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","true","filename.txt","50","1","10","600","0.4985747159207934","600"
"11","None","0.5","filename.txt","0.2","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","true","filename.txt","50","1","10","600","0.48134446429060657","600"
"13","None","0.5","filename.txt","0.2","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","true","filename.txt","50","1","10","600","0.4985747159207934","600"
"12","None","0.5","filename.txt","0.2","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","true","filename.txt","50","1","10","600","0.49738179399061433","600"
"15","None","0.5","filename.txt","0.2","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","true","filename.txt","50","1","10","600","0.48221514013018785","600"
"14","None","0.5","filename.txt","0.2","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","true","filename.txt","50","1","10","600","0.4970127795948285","600"
"9","None","0.5","filename.txt","0","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","true","filename.txt","50","1","10","600","0.49664998278706","600"
"10","None","0.5","filename.txt","0","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","true","filename.txt","50","1","10","600","0.4979341096159179","600"
"18","None","0.5","filename.txt","0.2","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","true","filename.txt","50","1","10","16","0.5","17"
"17","None","0.5","filename.txt","0.2","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","true","filename.txt","50","1","10","600","0.49451278961192535","600"
"21","None","0.5","filename.txt","0.4","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","true","filename.txt","50","1","10","13","0.5","14"
"20","None","0.5","filename.txt","0.2","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","true","filename.txt","50","1","10","600","0.492861212443604","600"
"19","None","0.5","filename.txt","0.2","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","true","filename.txt","50","1","10","600","0.49097765219097594","600"
"22","None","0.5","filename.txt","0.4","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","true","filename.txt","50","1","10","600","0.49949604594188285","600"
"23","None","0.5","filename.txt","0.4","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","true","filename.txt","50","1","10","19","0.5","20"
"24","None","0.5","filename.txt","0.4","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","true","filename.txt","50","1","10","6","0.5","7"
"26","None","0.5","filename.txt","0.4","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","true","filename.txt","50","1","10","18","0.5","19"
"25","None","0.5","filename.txt","0.4","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","true","filename.txt","50","1","10","14","0.5","15"
"27","None","0.5","filename.txt","0.4","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","true","filename.txt","50","1","10","20","0.5","21"
"28","None","0.5","filename.txt","0.4","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","true","filename.txt","50","1","10","19","0.5","20"
"30","None","0.5","filename.txt","0.4","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","true","filename.txt","50","1","10","10","0.5","11"
"31","None","0.5","filename.txt","0.6","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","true","filename.txt","50","1","10","11","0.5","12"
"32","None","0.5","filename.txt","0.6","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","true","filename.txt","50","1","10","15","0.5","16"
"33","None","0.5","filename.txt","0.6","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","true","filename.txt","50","1","10","13","0.5","14"
"29","None","0.5","filename.txt","0.4","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","true","filename.txt","50","1","10","600","0.49949604594188285","600"
"34","None","0.5","filename.txt","0.6","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","true","filename.txt","50","1","10","9","0.5","10"
"35","None","0.5","filename.txt","0.6","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","true","filename.txt","50","1","10","12","0.5","13"
"36","None","0.5","filename.txt","0.6","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","true","filename.txt","50","1","10","14","0.5","15"
"40","None","0.5","filename.txt","0.6","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","true","filename.txt","50","1","10","33","0.5","34"
"38","None","0.5","filename.txt","0.6","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","true","filename.txt","50","1","10","19","0.5","20"
"39","None","0.5","filename.txt","0.6","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","true","filename.txt","50","1","10","15","0.5","16"
"41","None","0.5","filename.txt","0.8","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","true","filename.txt","50","1","10","8","0.5","9"
"37","None","0.5","filename.txt","0.6","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","true","filename.txt","50","1","10","600","0.49949604594188285","600"
"43","None","0.5","filename.txt","0.8","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","true","filename.txt","50","1","10","11","0.5","12"
"42","None","0.5","filename.txt","0.8","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","true","filename.txt","50","1","10","600","0.49949604594188285","600"
"45","None","0.5","filename.txt","0.8","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","true","filename.txt","50","1","10","14","0.5","15"
"44","None","0.5","filename.txt","0.8","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","true","filename.txt","50","1","10","13","0.5","14"
"46","None","0.5","filename.txt","0.8","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","true","filename.txt","50","1","10","5","0.5","6"
"47","None","0.5","filename.txt","0.8","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","true","filename.txt","50","1","10","17","0.5","18"
"48","None","0.5","filename.txt","0.8","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","true","filename.txt","50","1","10","8","0.5","9"
"49","None","0.5","filename.txt","0.8","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","true","filename.txt","50","1","10","11","0.5","12"
"50","None","0.5","filename.txt","0.8","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","true","filename.txt","50","1","10","9","0.5","10"
"52","None","0.5","filename.txt","1","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","true","filename.txt","50","1","10","13","0.5","14"
"51","None","0.5","filename.txt","1","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","true","filename.txt","50","1","10","13","0.5","14"
"53","None","0.5","filename.txt","1","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","true","filename.txt","50","1","10","14","0.5","15"
"54","None","0.5","filename.txt","1","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","true","filename.txt","50","1","10","14","0.5","15"
"55","None","0.5","filename.txt","1","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","true","filename.txt","50","1","10","13","0.5","14"
"57","None","0.5","filename.txt","1","Best found","0.5","Rejection Method","Constraint 2","F2 Schwefel Function","true","filename.txt","50","1","10","12","0.5","13"
