"BehaviorSpace results (NetLogo 6.3.0)"
"PSO_NL_Template.nlogo"
"particle-inertia-f2-c2-penalty"
"12/30/2022 23:03:44:775 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","trails-mode","particle-inertia","path-to-load","swarm-confidence","highlight-mode","penalty","constraint_handling_method","Constraint","fitness_function","Constraints","path-to-save","population-size","personal-confidence","particle-speed-limit","[step]","global-best-val","iterations"
"7","None","0","filename.txt","1","Best found","0.5","Penalty Method","Constraint 2","F2 Schwefel Function","true","filename.txt","50","1","10","600","0.49515495997312314","600"
"6","None","0","filename.txt","1","Best found","0.5","Penalty Method","Constraint 2","F2 Schwefel Function","true","filename.txt","50","1","10","600","0.4895554533935405","600"
"1","None","0","filename.txt","1","Best found","0.5","Penalty Method","Constraint 2","F2 Schwefel Function","true","filename.txt","50","1","10","600","0.493477642173879","600"
"8","None","0","filename.txt","1","Best found","0.5","Penalty Method","Constraint 2","F2 Schwefel Function","true","filename.txt","50","1","10","600","0.4854140330275858","600"
"5","None","0","filename.txt","1","Best found","0.5","Penalty Method","Constraint 2","F2 Schwefel Function","true","filename.txt","50","1","10","600","0.4749252725990722","600"
"4","None","0","filename.txt","1","Best found","0.5","Penalty Method","Constraint 2","F2 Schwefel Function","true","filename.txt","50","1","10","600","0.4487747858975974","600"
"2","None","0","filename.txt","1","Best found","0.5","Penalty Method","Constraint 2","F2 Schwefel Function","true","filename.txt","50","1","10","600","0.480734631597048","600"
"3","None","0","filename.txt","1","Best found","0.5","Penalty Method","Constraint 2","F2 Schwefel Function","true","filename.txt","50","1","10","600","0.4660921809658415","600"
"13","None","0.2","filename.txt","1","Best found","0.5","Penalty Method","Constraint 2","F2 Schwefel Function","true","filename.txt","50","1","10","16","0.5","17"
"15","None","0.2","filename.txt","1","Best found","0.5","Penalty Method","Constraint 2","F2 Schwefel Function","true","filename.txt","50","1","10","14","0.5","15"
"11","None","0.2","filename.txt","1","Best found","0.5","Penalty Method","Constraint 2","F2 Schwefel Function","true","filename.txt","50","1","10","600","0.48221514013018785","600"
"12","None","0.2","filename.txt","1","Best found","0.5","Penalty Method","Constraint 2","F2 Schwefel Function","true","filename.txt","50","1","10","600","0.4961314976250713","600"
"9","None","0","filename.txt","1","Best found","0.5","Penalty Method","Constraint 2","F2 Schwefel Function","true","filename.txt","50","1","10","600","0.4837880149486765","600"
"10","None","0","filename.txt","1","Best found","0.5","Penalty Method","Constraint 2","F2 Schwefel Function","true","filename.txt","50","1","10","600","0.48276666308804195","600"
"14","None","0.2","filename.txt","1","Best found","0.5","Penalty Method","Constraint 2","F2 Schwefel Function","true","filename.txt","50","1","10","600","0.49949604594188285","600"
"16","None","0.2","filename.txt","1","Best found","0.5","Penalty Method","Constraint 2","F2 Schwefel Function","true","filename.txt","50","1","10","600","0.4992553702770012","600"
"18","None","0.2","filename.txt","1","Best found","0.5","Penalty Method","Constraint 2","F2 Schwefel Function","true","filename.txt","50","1","10","8","0.5","9"
