"BehaviorSpace results (NetLogo 6.3.0)"
"PSO_NL_Template.nlogo"
"population-size-f2-c2-penalty"
"12/31/2022 00:20:52:810 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","trails-mode","particle-inertia","path-to-load","swarm-confidence","highlight-mode","penalty","constraint_handling_method","Constraint","fitness_function","Constraints","path-to-save","population-size","personal-confidence","particle-speed-limit","[step]","global-best-val","iterations"
"3","None","0.5","filename.txt","1","Best found","0.5","Penalty Method","Constraint 2","F2 Schwefel Function","true","filename.txt","2","1","10","600","0.42888827482744896","600"
"1","None","0.5","filename.txt","1","Best found","0.5","Penalty Method","Constraint 2","F2 Schwefel Function","true","filename.txt","2","1","10","600","0.3440115667367948","600"
"8","None","0.5","filename.txt","1","Best found","0.5","Penalty Method","Constraint 2","F2 Schwefel Function","true","filename.txt","2","1","10","600","0.3325808784209026","600"
"5","None","0.5","filename.txt","1","Best found","0.5","Penalty Method","Constraint 2","F2 Schwefel Function","true","filename.txt","2","1","10","600","0.39572221421811615","600"
"4","None","0.5","filename.txt","1","Best found","0.5","Penalty Method","Constraint 2","F2 Schwefel Function","true","filename.txt","2","1","10","600","0.42590299785253377","600"
"7","None","0.5","filename.txt","1","Best found","0.5","Penalty Method","Constraint 2","F2 Schwefel Function","true","filename.txt","2","1","10","600","0.4016916376203482","600"
"6","None","0.5","filename.txt","1","Best found","0.5","Penalty Method","Constraint 2","F2 Schwefel Function","true","filename.txt","2","1","10","600","0.416515559369856","600"
"2","None","0.5","filename.txt","1","Best found","0.5","Penalty Method","Constraint 2","F2 Schwefel Function","true","filename.txt","2","1","10","600","0.3409524968489275","600"
"10","None","0.5","filename.txt","1","Best found","0.5","Penalty Method","Constraint 2","F2 Schwefel Function","true","filename.txt","2","1","10","600","0.3440115667367948","600"
"9","None","0.5","filename.txt","1","Best found","0.5","Penalty Method","Constraint 2","F2 Schwefel Function","true","filename.txt","2","1","10","600","0.31684518251937455","600"
"11","None","0.5","filename.txt","1","Best found","0.5","Penalty Method","Constraint 2","F2 Schwefel Function","true","filename.txt","2","1","10","600","0.38810804748253286","600"
"12","None","0.5","filename.txt","1","Best found","0.5","Penalty Method","Constraint 2","F2 Schwefel Function","true","filename.txt","2","1","10","600","0.22228931005528246","600"
"15","None","0.5","filename.txt","1","Best found","0.5","Penalty Method","Constraint 2","F2 Schwefel Function","true","filename.txt","2","1","10","600","0.405438037188521","600"
"16","None","0.5","filename.txt","1","Best found","0.5","Penalty Method","Constraint 2","F2 Schwefel Function","true","filename.txt","2","1","10","600","0.4024110332360824","600"
"13","None","0.5","filename.txt","1","Best found","0.5","Penalty Method","Constraint 2","F2 Schwefel Function","true","filename.txt","2","1","10","600","0.29465211924650164","600"
"14","None","0.5","filename.txt","1","Best found","0.5","Penalty Method","Constraint 2","F2 Schwefel Function","true","filename.txt","2","1","10","600","0.3834564243425011","600"
"17","None","0.5","filename.txt","1","Best found","0.5","Penalty Method","Constraint 2","F2 Schwefel Function","true","filename.txt","2","1","10","600","0.49949604594188285","600"
"21","None","0.5","filename.txt","1","Best found","0.5","Penalty Method","Constraint 2","F2 Schwefel Function","true","filename.txt","2","1","10","600","0.4941582965300868","600"
"22","None","0.5","filename.txt","1","Best found","0.5","Penalty Method","Constraint 2","F2 Schwefel Function","true","filename.txt","2","1","10","600","0.4443424361336924","600"
"24","None","0.5","filename.txt","1","Best found","0.5","Penalty Method","Constraint 2","F2 Schwefel Function","true","filename.txt","2","1","10","600","0.37590050814077686","600"
"23","None","0.5","filename.txt","1","Best found","0.5","Penalty Method","Constraint 2","F2 Schwefel Function","true","filename.txt","2","1","10","600","0.4852583493450152","600"
"20","None","0.5","filename.txt","1","Best found","0.5","Penalty Method","Constraint 2","F2 Schwefel Function","true","filename.txt","2","1","10","600","0.42610632854250696","600"
"18","None","0.5","filename.txt","1","Best found","0.5","Penalty Method","Constraint 2","F2 Schwefel Function","true","filename.txt","2","1","10","600","0.303126528471639","600"
"19","None","0.5","filename.txt","1","Best found","0.5","Penalty Method","Constraint 2","F2 Schwefel Function","true","filename.txt","2","1","10","600","0.389737669335946","600"
"25","None","0.5","filename.txt","1","Best found","0.5","Penalty Method","Constraint 2","F2 Schwefel Function","true","filename.txt","2","1","10","600","0.3712902989885878","600"
"28","None","0.5","filename.txt","1","Best found","0.5","Penalty Method","Constraint 2","F2 Schwefel Function","true","filename.txt","2","1","10","600","0.4524089994849182","600"
"29","None","0.5","filename.txt","1","Best found","0.5","Penalty Method","Constraint 2","F2 Schwefel Function","true","filename.txt","2","1","10","600","0.4889473273891953","600"
"26","None","0.5","filename.txt","1","Best found","0.5","Penalty Method","Constraint 2","F2 Schwefel Function","true","filename.txt","2","1","10","600","0.4567117859387977","600"
"27","None","0.5","filename.txt","1","Best found","0.5","Penalty Method","Constraint 2","F2 Schwefel Function","true","filename.txt","2","1","10","600","0.39287130473879767","600"
"32","None","0.5","filename.txt","1","Best found","0.5","Penalty Method","Constraint 2","F2 Schwefel Function","true","filename.txt","2","1","10","600","0.3356007851206403","600"
