"BehaviorSpace results (NetLogo 6.3.0)"
"PSO_NL_Template.nlogo"
"swarm-confidence-f2-c9-rejection"
"12/31/2022 16:58:06:368 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","trails-mode","particle-inertia","path-to-load","swarm-confidence","highlight-mode","penalty","constraint_handling_method","Constraint","fitness_function","Constraints","path-to-save","population-size","personal-confidence","particle-speed-limit","[step]","global-best-val","iterations"
"8","None","0.5","filename.txt","0","Best found","0.5","Rejection Method","Constraint 9","F2 Schwefel Function","true","filename.txt","50","1","10","600","0.9846358421428142","600"
"2","None","0.5","filename.txt","0","Best found","0.5","Rejection Method","Constraint 9","F2 Schwefel Function","true","filename.txt","50","1","10","600","0.8941131685171537","600"
"3","None","0.5","filename.txt","0","Best found","0.5","Rejection Method","Constraint 9","F2 Schwefel Function","true","filename.txt","50","1","10","600","0.9146323326121696","600"
"1","None","0.5","filename.txt","0","Best found","0.5","Rejection Method","Constraint 9","F2 Schwefel Function","true","filename.txt","50","1","10","600","0.9155786509379655","600"
"7","None","0.5","filename.txt","0","Best found","0.5","Rejection Method","Constraint 9","F2 Schwefel Function","true","filename.txt","50","1","10","600","0.9436313732192317","600"
"5","None","0.5","filename.txt","0","Best found","0.5","Rejection Method","Constraint 9","F2 Schwefel Function","true","filename.txt","50","1","10","600","0.9104713261942164","600"
"4","None","0.5","filename.txt","0","Best found","0.5","Rejection Method","Constraint 9","F2 Schwefel Function","true","filename.txt","50","1","10","600","0.9043337865248945","600"
"6","None","0.5","filename.txt","0","Best found","0.5","Rejection Method","Constraint 9","F2 Schwefel Function","true","filename.txt","50","1","10","600","0.9427508586431844","600"
"9","None","0.5","filename.txt","0","Best found","0.5","Rejection Method","Constraint 9","F2 Schwefel Function","true","filename.txt","50","1","10","600","0.9575918811139114","600"
"12","None","0.5","filename.txt","0.2","Best found","0.5","Rejection Method","Constraint 9","F2 Schwefel Function","true","filename.txt","50","1","10","600","0.9865216697840913","600"
"11","None","0.5","filename.txt","0.2","Best found","0.5","Rejection Method","Constraint 9","F2 Schwefel Function","true","filename.txt","50","1","10","600","0.9772729548183495","600"
"13","None","0.5","filename.txt","0.2","Best found","0.5","Rejection Method","Constraint 9","F2 Schwefel Function","true","filename.txt","50","1","10","600","0.9430527281180257","600"
