"BehaviorSpace results (NetLogo 6.3.0)"
"PSO_NL_Template.nlogo"
"swarm-confidence-f7-c9-noconstraints"
"12/30/2022 23:27:30:682 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","trails-mode","particle-inertia","path-to-load","swarm-confidence","highlight-mode","penalty","constraint_handling_method","Constraint","fitness_function","Constraints","path-to-save","population-size","personal-confidence","particle-speed-limit","[step]","global-best-val","iterations"
"5","None","0.5","filename.txt","0","Best found","0.5","Rejection Method","Constraint 9","F7 Booth's Function","false","filename.txt","50","1","10","600","0.7710894197806423","600"
"3","None","0.5","filename.txt","0","Best found","0.5","Rejection Method","Constraint 9","F7 Booth's Function","false","filename.txt","50","1","10","600","0.84059186005532","600"
"6","None","0.5","filename.txt","0","Best found","0.5","Rejection Method","Constraint 9","F7 Booth's Function","false","filename.txt","50","1","10","600","0.7027617288037848","600"
"4","None","0.5","filename.txt","0","Best found","0.5","Rejection Method","Constraint 9","F7 Booth's Function","false","filename.txt","50","1","10","600","0.8583412539914778","600"
"7","None","0.5","filename.txt","0","Best found","0.5","Rejection Method","Constraint 9","F7 Booth's Function","false","filename.txt","50","1","10","600","0.6865074703375802","600"
"1","None","0.5","filename.txt","0","Best found","0.5","Rejection Method","Constraint 9","F7 Booth's Function","false","filename.txt","50","1","10","600","0.805028994948578","600"
"8","None","0.5","filename.txt","0","Best found","0.5","Rejection Method","Constraint 9","F7 Booth's Function","false","filename.txt","50","1","10","600","0.9421275777737432","600"
"2","None","0.5","filename.txt","0","Best found","0.5","Rejection Method","Constraint 9","F7 Booth's Function","false","filename.txt","50","1","10","600","0.7700428249516751","600"
"12","None","0.5","filename.txt","0.2","Best found","0.5","Rejection Method","Constraint 9","F7 Booth's Function","false","filename.txt","50","1","10","15","1","16"
"13","None","0.5","filename.txt","0.2","Best found","0.5","Rejection Method","Constraint 9","F7 Booth's Function","false","filename.txt","50","1","10","17","1","18"
"11","None","0.5","filename.txt","0.2","Best found","0.5","Rejection Method","Constraint 9","F7 Booth's Function","false","filename.txt","50","1","10","14","1","15"
"14","None","0.5","filename.txt","0.2","Best found","0.5","Rejection Method","Constraint 9","F7 Booth's Function","false","filename.txt","50","1","10","10","1","11"
"15","None","0.5","filename.txt","0.2","Best found","0.5","Rejection Method","Constraint 9","F7 Booth's Function","false","filename.txt","50","1","10","11","1","12"
"16","None","0.5","filename.txt","0.2","Best found","0.5","Rejection Method","Constraint 9","F7 Booth's Function","false","filename.txt","50","1","10","11","1","12"
"9","None","0.5","filename.txt","0","Best found","0.5","Rejection Method","Constraint 9","F7 Booth's Function","false","filename.txt","50","1","10","600","0.49843544752608476","600"
"10","None","0.5","filename.txt","0","Best found","0.5","Rejection Method","Constraint 9","F7 Booth's Function","false","filename.txt","50","1","10","600","0.8313060008330041","600"
"20","None","0.5","filename.txt","0.2","Best found","0.5","Rejection Method","Constraint 9","F7 Booth's Function","false","filename.txt","50","1","10","14","1","15"
"17","None","0.5","filename.txt","0.2","Best found","0.5","Rejection Method","Constraint 9","F7 Booth's Function","false","filename.txt","50","1","10","10","1","11"
"18","None","0.5","filename.txt","0.2","Best found","0.5","Rejection Method","Constraint 9","F7 Booth's Function","false","filename.txt","50","1","10","15","1","16"
"19","None","0.5","filename.txt","0.2","Best found","0.5","Rejection Method","Constraint 9","F7 Booth's Function","false","filename.txt","50","1","10","9","1","10"
"21","None","0.5","filename.txt","0.4","Best found","0.5","Rejection Method","Constraint 9","F7 Booth's Function","false","filename.txt","50","1","10","7","1","8"
"22","None","0.5","filename.txt","0.4","Best found","0.5","Rejection Method","Constraint 9","F7 Booth's Function","false","filename.txt","50","1","10","8","1","9"
"23","None","0.5","filename.txt","0.4","Best found","0.5","Rejection Method","Constraint 9","F7 Booth's Function","false","filename.txt","50","1","10","6","1","7"
"24","None","0.5","filename.txt","0.4","Best found","0.5","Rejection Method","Constraint 9","F7 Booth's Function","false","filename.txt","50","1","10","5","1","6"
"25","None","0.5","filename.txt","0.4","Best found","0.5","Rejection Method","Constraint 9","F7 Booth's Function","false","filename.txt","50","1","10","9","1","10"
"26","None","0.5","filename.txt","0.4","Best found","0.5","Rejection Method","Constraint 9","F7 Booth's Function","false","filename.txt","50","1","10","8","1","9"
"27","None","0.5","filename.txt","0.4","Best found","0.5","Rejection Method","Constraint 9","F7 Booth's Function","false","filename.txt","50","1","10","7","1","8"
"28","None","0.5","filename.txt","0.4","Best found","0.5","Rejection Method","Constraint 9","F7 Booth's Function","false","filename.txt","50","1","10","8","1","9"
"29","None","0.5","filename.txt","0.4","Best found","0.5","Rejection Method","Constraint 9","F7 Booth's Function","false","filename.txt","50","1","10","9","1","10"
"30","None","0.5","filename.txt","0.4","Best found","0.5","Rejection Method","Constraint 9","F7 Booth's Function","false","filename.txt","50","1","10","8","1","9"
"31","None","0.5","filename.txt","0.6","Best found","0.5","Rejection Method","Constraint 9","F7 Booth's Function","false","filename.txt","50","1","10","5","1","6"
"32","None","0.5","filename.txt","0.6","Best found","0.5","Rejection Method","Constraint 9","F7 Booth's Function","false","filename.txt","50","1","10","3","1","4"
"33","None","0.5","filename.txt","0.6","Best found","0.5","Rejection Method","Constraint 9","F7 Booth's Function","false","filename.txt","50","1","10","9","1","10"
"34","None","0.5","filename.txt","0.6","Best found","0.5","Rejection Method","Constraint 9","F7 Booth's Function","false","filename.txt","50","1","10","5","1","6"
"35","None","0.5","filename.txt","0.6","Best found","0.5","Rejection Method","Constraint 9","F7 Booth's Function","false","filename.txt","50","1","10","7","1","8"
"36","None","0.5","filename.txt","0.6","Best found","0.5","Rejection Method","Constraint 9","F7 Booth's Function","false","filename.txt","50","1","10","6","1","7"
"37","None","0.5","filename.txt","0.6","Best found","0.5","Rejection Method","Constraint 9","F7 Booth's Function","false","filename.txt","50","1","10","6","1","7"
"38","None","0.5","filename.txt","0.6","Best found","0.5","Rejection Method","Constraint 9","F7 Booth's Function","false","filename.txt","50","1","10","5","1","6"
"39","None","0.5","filename.txt","0.6","Best found","0.5","Rejection Method","Constraint 9","F7 Booth's Function","false","filename.txt","50","1","10","5","1","6"
"40","None","0.5","filename.txt","0.6","Best found","0.5","Rejection Method","Constraint 9","F7 Booth's Function","false","filename.txt","50","1","10","8","1","9"
"41","None","0.5","filename.txt","0.8","Best found","0.5","Rejection Method","Constraint 9","F7 Booth's Function","false","filename.txt","50","1","10","9","1","10"
"44","None","0.5","filename.txt","0.8","Best found","0.5","Rejection Method","Constraint 9","F7 Booth's Function","false","filename.txt","50","1","10","2","1","3"
"42","None","0.5","filename.txt","0.8","Best found","0.5","Rejection Method","Constraint 9","F7 Booth's Function","false","filename.txt","50","1","10","5","1","6"
"43","None","0.5","filename.txt","0.8","Best found","0.5","Rejection Method","Constraint 9","F7 Booth's Function","false","filename.txt","50","1","10","4","1","5"
"45","None","0.5","filename.txt","0.8","Best found","0.5","Rejection Method","Constraint 9","F7 Booth's Function","false","filename.txt","50","1","10","6","1","7"
"46","None","0.5","filename.txt","0.8","Best found","0.5","Rejection Method","Constraint 9","F7 Booth's Function","false","filename.txt","50","1","10","5","1","6"
"47","None","0.5","filename.txt","0.8","Best found","0.5","Rejection Method","Constraint 9","F7 Booth's Function","false","filename.txt","50","1","10","9","1","10"
"48","None","0.5","filename.txt","0.8","Best found","0.5","Rejection Method","Constraint 9","F7 Booth's Function","false","filename.txt","50","1","10","4","1","5"
"49","None","0.5","filename.txt","0.8","Best found","0.5","Rejection Method","Constraint 9","F7 Booth's Function","false","filename.txt","50","1","10","5","1","6"
"52","None","0.5","filename.txt","1","Best found","0.5","Rejection Method","Constraint 9","F7 Booth's Function","false","filename.txt","50","1","10","7","1","8"
"50","None","0.5","filename.txt","0.8","Best found","0.5","Rejection Method","Constraint 9","F7 Booth's Function","false","filename.txt","50","1","10","5","1","6"
"51","None","0.5","filename.txt","1","Best found","0.5","Rejection Method","Constraint 9","F7 Booth's Function","false","filename.txt","50","1","10","5","1","6"
"53","None","0.5","filename.txt","1","Best found","0.5","Rejection Method","Constraint 9","F7 Booth's Function","false","filename.txt","50","1","10","6","1","7"
"55","None","0.5","filename.txt","1","Best found","0.5","Rejection Method","Constraint 9","F7 Booth's Function","false","filename.txt","50","1","10","8","1","9"
"54","None","0.5","filename.txt","1","Best found","0.5","Rejection Method","Constraint 9","F7 Booth's Function","false","filename.txt","50","1","10","2","1","3"
"56","None","0.5","filename.txt","1","Best found","0.5","Rejection Method","Constraint 9","F7 Booth's Function","false","filename.txt","50","1","10","7","1","8"
"57","None","0.5","filename.txt","1","Best found","0.5","Rejection Method","Constraint 9","F7 Booth's Function","false","filename.txt","50","1","10","8","1","9"
"60","None","0.5","filename.txt","1","Best found","0.5","Rejection Method","Constraint 9","F7 Booth's Function","false","filename.txt","50","1","10","7","1","8"
"59","None","0.5","filename.txt","1","Best found","0.5","Rejection Method","Constraint 9","F7 Booth's Function","false","filename.txt","50","1","10","7","1","8"
"58","None","0.5","filename.txt","1","Best found","0.5","Rejection Method","Constraint 9","F7 Booth's Function","false","filename.txt","50","1","10","7","1","8"
