"BehaviorSpace results (NetLogo 6.3.0)"
"PSO_NL_Template.nlogo"
"swarm-confidence-f7-c9-penalty"
"12/30/2022 23:25:30:230 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","trails-mode","particle-inertia","path-to-load","swarm-confidence","highlight-mode","penalty","constraint_handling_method","Constraint","fitness_function","Constraints","path-to-save","population-size","personal-confidence","particle-speed-limit","[step]","global-best-val","iterations"
"6","None","0.5","filename.txt","0","Best found","0.5","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","600","0.8587897946324636","600"
"7","None","0.5","filename.txt","0","Best found","0.5","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","600","0.8493223832459391","600"
"5","None","0.5","filename.txt","0","Best found","0.5","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","600","0.8053066629644264","600"
"3","None","0.5","filename.txt","0","Best found","0.5","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","600","0.8674455610495851","600"
"8","None","0.5","filename.txt","0","Best found","0.5","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","600","0.9804778025780407","600"
"4","None","0.5","filename.txt","0","Best found","0.5","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","600","0.596777983062251","600"
"1","None","0.5","filename.txt","0","Best found","0.5","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","600","0.9420314619221034","600"
"2","None","0.5","filename.txt","0","Best found","0.5","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","600","0.7710894197806423","600"
"11","None","0.5","filename.txt","0.2","Best found","0.5","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","11","1","12"
"15","None","0.5","filename.txt","0.2","Best found","0.5","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","7","1","8"
"12","None","0.5","filename.txt","0.2","Best found","0.5","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","12","1","13"
"13","None","0.5","filename.txt","0.2","Best found","0.5","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","10","1","11"
"14","None","0.5","filename.txt","0.2","Best found","0.5","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","10","1","11"
"16","None","0.5","filename.txt","0.2","Best found","0.5","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","11","1","12"
"9","None","0.5","filename.txt","0","Best found","0.5","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","600","0.8768168565844698","600"
"10","None","0.5","filename.txt","0","Best found","0.5","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","600","0.8585548447728996","600"
"18","None","0.5","filename.txt","0.2","Best found","0.5","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","13","1","14"
"17","None","0.5","filename.txt","0.2","Best found","0.5","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","9","1","10"
"19","None","0.5","filename.txt","0.2","Best found","0.5","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","8","1","9"
"20","None","0.5","filename.txt","0.2","Best found","0.5","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","10","1","11"
"22","None","0.5","filename.txt","0.4","Best found","0.5","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","6","1","7"
"21","None","0.5","filename.txt","0.4","Best found","0.5","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","6","1","7"
"23","None","0.5","filename.txt","0.4","Best found","0.5","Penalty Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","8","1","9"
