"BehaviorSpace results (NetLogo 6.3.0)"
"PSO_NL_Template.nlogo"
"swarm-confidence-f7-c9-rejection"
"12/31/2022 16:53:44:030 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","trails-mode","particle-inertia","path-to-load","swarm-confidence","highlight-mode","penalty","constraint_handling_method","Constraint","fitness_function","Constraints","path-to-save","population-size","personal-confidence","particle-speed-limit","[step]","global-best-val","iterations"
"2","None","0.5","filename.txt","0","Best found","0.5","Rejection Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","600","0.9325426914574367","600"
"4","None","0.5","filename.txt","0","Best found","0.5","Rejection Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","600","0.8314021166846439","600"
"3","None","0.5","filename.txt","0","Best found","0.5","Rejection Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","600","0.9325426914574367","600"
"8","None","0.5","filename.txt","0","Best found","0.5","Rejection Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","600","0.7528060488909298","600"
"7","None","0.5","filename.txt","0","Best found","0.5","Rejection Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","600","0.9516377073165522","600"
"5","None","0.5","filename.txt","0","Best found","0.5","Rejection Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","600","0.9708181594882365","600"
"6","None","0.5","filename.txt","0","Best found","0.5","Rejection Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","600","0.8403355511176137","600"
"1","None","0.5","filename.txt","0","Best found","0.5","Rejection Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","600","0.8315729893097814","600"
"11","None","0.5","filename.txt","0.2","Best found","0.5","Rejection Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","11","1","12"
"14","None","0.5","filename.txt","0.2","Best found","0.5","Rejection Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","7","1","8"
"12","None","0.5","filename.txt","0.2","Best found","0.5","Rejection Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","600","0.9902335615194848","600"
"16","None","0.5","filename.txt","0.2","Best found","0.5","Rejection Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","600","0.9137253436141696","600"
"13","None","0.5","filename.txt","0.2","Best found","0.5","Rejection Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","600","0.9902122024413427","600"
"15","None","0.5","filename.txt","0.2","Best found","0.5","Rejection Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","600","0.9902122024413427","600"
"9","None","0.5","filename.txt","0","Best found","0.5","Rejection Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","600","0.7194858869891175","600"
"10","None","0.5","filename.txt","0","Best found","0.5","Rejection Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","600","0.89507886839604","600"
"18","None","0.5","filename.txt","0.2","Best found","0.5","Rejection Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","20","1","21"
"17","None","0.5","filename.txt","0.2","Best found","0.5","Rejection Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","600","0.9804778025780407","600"
"20","None","0.5","filename.txt","0.2","Best found","0.5","Rejection Method","Constraint 9","F7 Booth's Function","true","filename.txt","50","1","10","9","1","10"
